date,World_daily_cases
2020-08-23,206178.0
2020-08-24,225346.0
2020-08-25,243757.0
2020-08-26,283917.0
2020-08-27,283700.0
2020-08-28,283732.0
2020-08-29,263738.0
2020-08-30,220980.0
2020-08-31,262978.0
2020-09-01,264728.0
2020-09-02,283430.0
2020-09-03,281294.0
2020-09-04,314038.0
2020-09-05,269885.0
2020-09-06,230595.0
2020-09-07,217783.0
2020-09-08,242241.0
2020-09-09,284519.0
2020-09-10,299923.0
2020-09-11,321241.0
2020-09-12,286593.0
2020-09-13,242634.0
2020-09-14,263701.0
2020-09-15,285382.0
2020-09-16,304352.0
2020-09-17,314939.0
2020-09-18,325783.0
2020-09-19,292082.0
2020-09-20,251999.0
2020-09-21,276028.0
2020-09-22,284314.0
2020-09-23,275791.0
2020-09-24,352988.0
2020-09-25,330771.0
2020-09-26,288316.0
2020-09-27,251706.0
2020-09-28,254748.0
2020-09-29,282437.0
2020-09-30,326110.0
2020-10-01,318236.0
2020-10-02,297630.0
2020-10-03,332162.0
2020-10-04,261424.0
2020-10-05,300997.0
2020-10-06,326310.0
2020-10-07,350875.0
2020-10-08,361236.0
2020-10-09,360781.0
2020-10-10,356970.0
2020-10-11,286968.0
2020-10-12,291647.0
2020-10-13,319257.0
2020-10-14,382189.0
2020-10-15,406871.0
2020-10-16,411668.0
2020-10-17,372577.0
2020-10-18,316530.0
2020-10-19,387013.0
2020-10-20,389014.0
2020-10-21,444780.0
2020-10-22,472630.0
2020-10-23,496571.0
2020-10-24,456759.0
2020-10-25,360366.0
2020-10-26,486490.0
2020-10-27,469808.0
2020-10-28,511484.0
2020-10-29,550501.0
2020-10-30,570607.0
2020-10-31,476543.0
2020-11-01,462686.0
2020-11-02,562721.0
2020-11-03,553359.0
2020-11-04,511163.0
2020-11-05,596866.0
2020-11-06,644601.0
2020-11-07,596644.0
2020-11-08,483799.0
2020-11-09,501233.0
2020-11-10,558933.0
2020-11-11,648167.0
2020-11-12,649796.0
2020-11-13,651847.0
2020-11-14,594726.0
2020-11-15,473688.0
2020-11-16,534170.0
2020-11-17,610572.0
2020-11-18,626922.0
2020-11-19,653177.0
2020-11-20,668377.0
2020-11-21,587244.0
2020-11-22,487990.0
2020-11-23,524706.0
2020-11-24,590007.0
2020-11-25,635439.0
2020-11-26,582124.0
2020-11-27,687238.0
2020-11-28,585583.0
2020-11-29,488263.0
2020-11-30,508004.0
2020-12-01,611846.0
2020-12-02,650617.0
2020-12-03,693323.0
2020-12-04,683092.0
2020-12-05,641625.0
2020-12-06,538792.0
2020-12-07,519422.0
2020-12-08,642903.0
2020-12-09,669016.0
2020-12-10,673935.0
2020-12-11,702832.0
